categoria,categoriaURL,comentarios,dtPostagem,titulo,url,visualizacoes
DATA SCIENCE,https://www.igti.com.br/blog/category/data-science/,7 comentários,12 de abril de 2017,Cientista de Dados: o novo profissional que o mercado procura,https://www.igti.com.br/blog/carreira-ti-big-data/,34.556 visualizações
DEVELOPMENT,https://www.igti.com.br/blog/category/development/,Comentar,13 de junho de 2018,O que faz um Desenvolvedor Full Stack?,https://www.igti.com.br/blog/o-que-faz-um-desenvolvedor-full-stack/,34.389 visualizações
DEVELOPMENT,https://www.igti.com.br/blog/category/development/,2 comentários,22 de novembro de 2017,5 motivos para você aprender SQL,https://www.igti.com.br/blog/5-motivos-para-voce-aprender-sql/,29.177 visualizações
INTELIGÊNCIA ARTIFICIAL,https://www.igti.com.br/blog/category/inteligencia-artificial/,Comentar,10 de julho de 2017,"A carreira dos profissionais de Ciência de Dados, Engenharia de Dados e Machine Learning",https://www.igti.com.br/blog/carreira-big-data-engenharia-dados-machine-learning/,27.450 visualizações
DATA ANALYTICS,https://www.igti.com.br/blog/category/data-analytics/,8 comentários,4 de maio de 2017,A carreira de um Analista de Business Intelligence,https://www.igti.com.br/blog/carreira-inteligencia-negocios/,26.671 visualizações
Webinar,https://www.igti.com.br/blog/category/webinar/,Comentar,5 dias atrás,Seja um parceiro do IGTI,https://www.igti.com.br/blog/seja-um-parceiro-do-igti/,105 visualizações
IGTI NA MÍDIA,https://www.igti.com.br/blog/category/igti-na-midia/,Comentar,1 semana atrás,No foco do Zoom,https://www.igti.com.br/blog/no-foco-do-zoom/,59 visualizações
"Dev Summit, DEVELOPMENT, ","https://www.igti.com.br/blog/category/dev-summit/, https://www.igti.com.br/blog/category/development/, ",Comentar,1 semana atrás,Automatismos para elevar a produtividade no desenvolvimento mobile,https://www.igti.com.br/blog/automatismos-para-elevar-a-produtividade-no-desenvolvimento-mobile/,39 visualizações
"Dev Summit, DEVELOPMENT, ","https://www.igti.com.br/blog/category/dev-summit/, https://www.igti.com.br/blog/category/development/, ",Comentar,2 semanas atrás,Comunicação de Alto Impacto no Trabalho Remoto,https://www.igti.com.br/blog/comunicacao-de-alto-impacto-no-trabalho-remoto/,200 visualizações
IGTI NA MÍDIA,https://www.igti.com.br/blog/category/igti-na-midia/,Comentar,2 semanas atrás,5G DSS | O que é e como funciona a “nova geração” da rede disponível no Brasil,https://www.igti.com.br/blog/5g-dss-o-que-e-e-como-funciona-a-nova-geracao-da-rede-disponivel-no-brasil/,106 visualizações
"Dev Summit, DEVELOPMENT, ","https://www.igti.com.br/blog/category/dev-summit/, https://www.igti.com.br/blog/category/development/, ",Comentar,2 semanas atrás,Arquitetura de Software: Resolução de problemas industriais,https://www.igti.com.br/blog/arquitetura-de-software-resolucao-de-problemas-industriais/,78 visualizações
"CIBERSEGURANÇA, IGTI NA MÍDIA, ","https://www.igti.com.br/blog/category/ciberseguranca/, https://www.igti.com.br/blog/category/igti-na-midia/, ",Comentar,3 semanas atrás,Os riscos e oportunidades do Open Banking: quem ganha com a regulamentação,https://www.igti.com.br/blog/os-riscos-e-oportunidades-do-open-banking-quem-ganha-com-a-regulamentacao/,69 visualizações
"Dev Summit, IGTI NA MÍDIA, ","https://www.igti.com.br/blog/category/dev-summit/, https://www.igti.com.br/blog/category/igti-na-midia/, ",Comentar,3 semanas atrás,"Conteúdo Científico, Desenvolvimento de Software, InovAtiva Brasil & Negócios com Propósito",https://www.igti.com.br/blog/conteudo-cientifico-desenvolvimento-de-software-inovativa-brasil-negocios-com-proposito/,145 visualizações
