"row ID","Location","Name","Query","URL"
"0","Brazil","Ederson","Ederson","http://twitter.com/search?q=Ederson"
"1","Brazil","Mirassol","Mirassol","http://twitter.com/search?q=Mirassol"
"2","Brazil","Hyoran","Hyoran","http://twitter.com/search?q=Hyoran"
"3","Brazil","Saravia","Saravia","http://twitter.com/search?q=Saravia"
"4","Brazil","Nathan","Nathan","http://twitter.com/search?q=Nathan"
"5","Brazil","#ButecoBohemiaSunset","%23ButecoBohemiaSunset","http://twitter.com/search?q=%23ButecoBohemiaSunset"
"6","Brazil","Cássio","C%C3%A1ssio","http://twitter.com/search?q=C%C3%A1ssio"
"7","Brazil","Gusttavo Lima","%22Gusttavo+Lima%22","http://twitter.com/search?q=%22Gusttavo+Lima%22"
"8","Brazil","Galhardo","Galhardo","http://twitter.com/search?q=Galhardo"
"9","Brazil","Ramiro","Ramiro","http://twitter.com/search?q=Ramiro"
"10","Brazil","Arana","Arana","http://twitter.com/search?q=Arana"
"11","Brazil","Boschilia","Boschilia","http://twitter.com/search?q=Boschilia"
"12","Brazil","Carlos Eduardo","%22Carlos+Eduardo%22","http://twitter.com/search?q=%22Carlos+Eduardo%22"
"13","Brazil","#CORxMIR","%23CORxMIR","http://twitter.com/search?q=%23CORxMIR"
"14","Brazil","Paulinho","Paulinho","http://twitter.com/search?q=Paulinho"
"15","Brazil","Sampaoli","Sampaoli","http://twitter.com/search?q=Sampaoli"
"16","Brazil","Coudet","Coudet","http://twitter.com/search?q=Coudet"
"17","Brazil","#BTS_Dynamite","%23BTS_Dynamite","http://twitter.com/search?q=%23BTS_Dynamite"
"18","Brazil","Itaquera","Itaquera","http://twitter.com/search?q=Itaquera"
"19","Brazil","Otero","Otero","http://twitter.com/search?q=Otero"
"20","Brazil","Pottker","Pottker","http://twitter.com/search?q=Pottker"
"21","Brazil","Esportivo","Esportivo","http://twitter.com/search?q=Esportivo"
"22","Brazil","Dorival","Dorival","http://twitter.com/search?q=Dorival"
"23","Brazil","Guga","Guga","http://twitter.com/search?q=Guga"
"24","Brazil","Keno","Keno","http://twitter.com/search?q=Keno"
"25","Brazil","#GOpaiN","%23GOpaiN","http://twitter.com/search?q=%23GOpaiN"
"26","Brazil","Araos","Araos","http://twitter.com/search?q=Araos"
"27","Brazil","#nascarfoxsports","%23nascarfoxsports","http://twitter.com/search?q=%23nascarfoxsports"
"28","Brazil","Renan","Renan","http://twitter.com/search?q=Renan"
"29","Brazil","Lisca","Lisca","http://twitter.com/search?q=Lisca"
"30","Brazil","Athletico","Athletico","http://twitter.com/search?q=Athletico"
"31","Brazil","Thiago Lopes","%22Thiago+Lopes%22","http://twitter.com/search?q=%22Thiago+Lopes%22"
"32","Brazil","Tiago Nunes","%22Tiago+Nunes%22","http://twitter.com/search?q=%22Tiago+Nunes%22"
"33","Brazil","O VAR","%22O+VAR%22","http://twitter.com/search?q=%22O+VAR%22"
"34","Brazil","Fabiano","Fabiano","http://twitter.com/search?q=Fabiano"
"35","Brazil","marcos guilherme","%22marcos+guilherme%22","http://twitter.com/search?q=%22marcos+guilherme%22"
"36","Brazil","Remo","Remo","http://twitter.com/search?q=Remo"
"37","Brazil","Praxedes","Praxedes","http://twitter.com/search?q=Praxedes"
"38","Brazil","#BTSNOCEARA","%23BTSNOCEARA","http://twitter.com/search?q=%23BTSNOCEARA"
"39","Brazil","#DerreteMaia","%23DerreteMaia","http://twitter.com/search?q=%23DerreteMaia"
"40","Brazil","#smilesundays","%23smilesundays","http://twitter.com/search?q=%23smilesundays"
"41","Brazil","#GoFLA","%23GoFLA","http://twitter.com/search?q=%23GoFLA"
"42","Brazil","#SkolNoLsConvida","%23SkolNoLsConvida","http://twitter.com/search?q=%23SkolNoLsConvida"
"43","Brazil","#paulistanosportv","%23paulistanosportv","http://twitter.com/search?q=%23paulistanosportv"
